Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Baidu inc adr,BIDU,"",5000.0,514000.0,0.2406,0.1375,78,0.0,0.0,,0.0014313,Q3 2018,COMMUNICATIONS,13F,09/30/2019,155.352
Sina corp,SINA,"",12500.0,490000.0,0.2293,0.149,79,-2250.0,-15.254237,reduction,0.0174899,Q4 2018,COMMUNICATIONS,13F,09/30/2019,45.2676
Pinterest inc,PINS,"",18000.0,476000.0,0.2228,0.0255,80,14000.0,350.0,addition,0.0033167,Q2 2019,COMMUNICATIONS,13F,09/30/2019,26.6211
Impinj inc,PI,CALL,15000.0,462000.0,0.2162,0.134,81,-5000.0,-25.0,reduction,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Chipotle mexican grill  inc.,CMG,"",550.0,462000.0,0.2162,0.0602,82,200.0,57.142857,addition,0.0019841,Q1 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,757.6409
Proofpoint inc,PFPT,"",3500.0,452000.0,0.2116,,83,3500.0,,new,0.0062422,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,129.05
Zto express cayman inc adr,ZTO,CALL,20000.0,427000.0,0.1999,0.1344,84,-10000.0,-33.333333,reduction,N/A,Q2 2019,INDUSTRIALS,13F,09/30/2019,
Pinduoduo inc,PDD,"",12500.0,403000.0,0.1886,,85,12500.0,,new,0.0011222,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,32.22
Lululemon athletica inc.,LULU,"",2050.0,395000.0,0.1849,0.0843,86,50.0,2.5,addition,0.0015737,Q1 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,172.9383
Gds holdings ltd adr,GDS,"",9500.0,381000.0,0.1783,,87,9500.0,,new,0.0080899,Q3 2019,COMMUNICATIONS,13F,09/30/2019,40.08
Boeing company,BA,"",1000.0,380000.0,0.1779,,88,1000.0,,new,0.0001777,Q3 2019,INDUSTRIALS,13F,09/30/2019,380.47
Applied materials inc.,AMAT,"",7500.0,374000.0,0.1751,0.0368,89,4000.0,114.285714,addition,0.0008119,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,47.5713
Asml holding nv (adr),ASML,"",1500.0,373000.0,0.1746,,90,1500.0,,new,0.0003562,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,248.42
Super league gaming inc,SLGG,"",85111.0,367000.0,0.1718,0.1258,91,22361.0,35.63506,addition,0.9931272,Q1 2019,COMMUNICATIONS,13F,09/30/2019,7.3038
